Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate
The Hunger Games: Catching Fire,130000000,424668047,Francis Lawrence,PG-13,146,11/22/13 0:00
Iron Man 3,200000000,409013994,Shane Black,PG-13,129,5/3/13 0:00
Frozen,150000000,400738009,Chris BuckJennifer Lee,PG,108,11/22/13 0:00
Despicable Me 2,76000000,368061265,Pierre CoffinChris Renaud,PG,98,7/3/13 0:00
Man of Steel,225000000,291045518,Zack Snyder,PG-13,143,6/14/13 0:00
Gravity,100000000,274092705,Alfonso Cuaron,PG-13,91,10/4/13 0:00
Monsters University,,268492764,Dan Scanlon,G,107,6/21/13 0:00
The Hobbit: The Desolation of Smaug,,258366855,Peter Jackson,PG-13,161,12/13/13 0:00
Fast & Furious 6,160000000,238679850,Justin Lin,PG-13,130,5/24/13 0:00
Oz The Great and Powerful,215000000,234911825,Sam Raimi,PG,127,3/8/13 0:00
Star Trek Into Darkness,190000000,228778661,J.J. Abrams,PG-13,123,5/16/13 0:00
Thor: The Dark World,170000000,206362140,Alan Taylor,PG-13,120,11/8/13 0:00
World War Z,190000000,202359711,Marc Forster,PG-13,116,6/21/13 0:00
The Croods,135000000,187168425,Kirk De MiccoChris Sanders,PG,98,3/22/13 0:00
The Heat,43000000,159582188,Paul Feig,R,117,6/28/13 0:00
We're the Millers,37000000,150394119,Rawson Marshall Thurber,R,110,8/7/13 0:00
American Hustle,40000000,150117807,David O. Russell,R,138,12/13/13 0:00
The Great Gatsby,105000000,144840419,Baz Luhrmann,PG-13,143,5/10/13 0:00
The Conjuring,20000000,137400141,James Wan,R,112,7/19/13 0:00
Identity Thief,35000000,134506920,Seth Gordon,R,111,2/8/13 0:00
Grown Ups 2,80000000,133668525,Dennis Dugan,PG-13,101,7/12/13 0:00
The Wolverine,120000000,132556852,James Mangold,PG-13,126,7/26/13 0:00
Anchorman 2: The Legend Continues,50000000,125168368,Adam McKay,PG-13,119,12/18/13 0:00
Lone Survivor,40000000,125095601,Peter Berg,R,121,12/25/13 0:00
G.I. Joe: Retaliation,130000000,122523060,Jon Chu,PG-13,99,3/28/13 0:00
Cloudy with a Chance of Meatballs 2,78000000,119793567,,PG,95,9/27/13 0:00
Now You See Me,75000000,117723989,Louis Leterrier,PG-13,116,5/31/13 0:00
The Wolf of Wall Street,100000000,116900694,Martin Scorsese,R,180,12/25/13 0:00
Lee Daniels' The Butler,30000000,116632095,Lee Daniels,PG-13,132,8/16/13 0:00
The Hangover Part III,103000000,112200072,Todd Phillips,R,100,5/23/13 0:00
Epic,100000000,107518682,Chris Wedge,PG,102,5/24/13 0:00
Captain Phillips,55000000,107100855,Paul Greengrass,PG-13,134,10/11/13 0:00
Jackass Presents: Bad Grandpa,15000000,102003019,Jeff Tremaine,R,93,10/25/13 0:00
Pacific Rim,190000000,101802906,Guillermo del Toro,PG-13,131,7/12/13 0:00
This is The End,32000000,101470202,Evan GoldbergSeth Rogen,R,107,6/12/13 0:00
Olympus Has Fallen,70000000,98925640,Antoine Fuqua,R,120,3/22/13 0:00
42,40000000,95020213,Brian Helgeland,PG-13,128,4/12/13 0:00
Elysium,115000000,93050117,Neill Blomkamp,R,109,8/9/13 0:00
Planes,50000000,90288712,Klay Hall,PG,92,8/9/13 0:00
The Lone Ranger,215000000,89302115,Gore Verbinski,PG-13,149,7/3/13 0:00
Oblivion,120000000,89107235,Joseph Kosinski,PG-13,125,4/19/13 0:00
Insidious Chapter 2,5000000,83586447,James Wan,PG-13,105,9/13/13 0:00
Saving Mr. Banks,35000000,83301580,John Lee Hancock,PG-13,120,12/13/13 0:00
Turbo,135000000,83028128,David Soren,PG,96,7/17/13 0:00
2 Guns,61000000,75612460,Baltasar Kormakur,R,109,8/2/13 0:00
White House Down,150000000,73103784,Roland Emmerich,PG-13,137,6/28/13 0:00
Mama,15000000,71628180,Andres Muschietti,PG-13,100,1/18/13 0:00
Safe Haven,28000000,71349120,Lasse Hallstrom,PG-13,115,2/14/13 0:00
The Smurfs 2,105000000,71017784,Raja Gosnell,PG,105,7/31/13 0:00
The Best Man Holiday,17000000,70525195,Malcolm D. Lee,R,122,11/15/13 0:00
Percy Jackson: Sea of Monsters,90000000,68559554,Thor Freudenthal,PG,106,8/7/13 0:00
A Good Day to Die Hard,92000000,67349198,John Moore,R,97,2/14/13 0:00
Warm Bodies,35000000,66380662,Jonathan Levine,PG-13,97,2/1/13 0:00
Jack The Giant Slayer,195000000,65187603,Bryan Singer,PG-13,114,3/1/13 0:00
The Purge,3000000,64473115,James DeMonaco,R,85,6/7/13 0:00
Last Vegas,28000000,63914167,Jon Turteltaub,PG-13,90,11/1/13 0:00
Ender's Game,110000000,61737191,Gavin Hood,PG-13,114,11/1/13 0:00
Prisoners,46000000,61002302,Denis Villeneuve,R,146,9/20/13 0:00
After Earth,130000000,60522097,M. Night Shyamalan,PG-13,100,5/31/13 0:00
The Secret Life of Walter Mitty,90000000,58236838,Ben Stiller,PG,114,12/25/13 0:00
Escape From Planet Earth,40000000,57012977,Cal Brunker,PG,89,2/15/13 0:00
12 Years a Slave,20000000,56671993,Steve McQueen (II),R,133,10/18/13 0:00
Free Birds,55000000,55750480,Jimmy Hayward,PG,90,11/1/13 0:00
Hansel and Gretel: Witch Hunters,50000000,55703475,Tommy Wirkola,R,88,1/25/13 0:00
Evil Dead,17000000,54239856,Fede Alvarez,R,91,4/5/13 0:00
Red 2,84000000,53262560,Dean Parisot,PG-13,116,7/19/13 0:00
Tyler Perry's A Madea Christmas,,52543354,Tyler Perry,PG-13,105,12/13/13 0:00
Tyler Perry's Temptation: Confessions of a Marriage Counselor,,51975354,Tyler Perry,PG-13,111,3/29/13 0:00
The Call,13000000,51872378,Brad Anderson,R,95,3/15/13 0:00
Pain and Gain,26000000,49875291,Michael Bay,R,129,4/26/13 0:00
Gangster Squad,60000000,46000903,Ruben Fleischer,R,113,1/11/13 0:00
Jurassic Park 3D,10000000,45385935,,PG-13,127,4/5/13 0:00
The Internship,58000000,44672764,Shawn Levy,PG-13,119,6/7/13 0:00
Instructions Not Included,,44467206,,PG-13,115,8/30/13 0:00
Snitch,,42930462,Ric Roman Waugh,PG-13,112,2/22/13 0:00
Riddick,38000000,42025135,David Twohy,R,119,9/6/13 0:00
A Haunted House,2500000,40041683,Michael Tiddes,R,80,1/11/13 0:00
47 Ronin,175000000,38362475,Carl Rinsch,PG-13,127,12/25/13 0:00
August: Osage County,,37738810,John Wells,R,130,12/27/13 0:00
Philomena,12000000,37709979,Stephen Frears,PG-13,95,11/22/13 0:00
The Family,30000000,36918811,Luc Besson,R,112,9/13/13 0:00
Walking with Dinosaurs,80000000,36076121,Barry CookNeil Nightingale,PG,87,12/20/13 0:00
Carrie,30000000,35266619,Kimberly Peirce,R,92,10/18/13 0:00
Texas Chainsaw 3D,,34341945,John Luessenhop,R,92,1/4/13 0:00
R.I.P.D.,130000000,33618855,Robert Schwentke,PG-13,96,7/19/13 0:00
Blue Jasmine,,33405481,Woody Allen,PG-13,98,7/26/13 0:00
Kevin Hart: Let Me Explain,,32244051,,R,75,7/3/13 0:00
Side Effects,,32172757,Steven Soderbergh,R,106,2/8/13 0:00
Scary Movie 5,20000000,32015787,Malcolm D. Lee,PG-13,85,4/12/13 0:00
The Mortal Instruments: City of Bones,60000000,31165421,Harald Zwart,PG-13,120,8/21/13 0:00
Delivery Man,26000000,30664106,Ken Scott,PG-13,105,11/22/13 0:00
Grudge Match,40000000,29807260,Peter Segal,PG-13,113,12/25/13 0:00
One Direction: This is Us,10000000,28873374,Morgan Spurlock,PG,92,8/30/13 0:00
Kick-Ass 2,28000000,28795985,Jeff Wadlow,R,103,8/16/13 0:00
Dallas Buyers Club,5000000,27298285,Jean-Marc Vallee,R,117,11/1/13 0:00
Rush,38000000,26947624,Ron Howard,R,123,9/20/13 0:00
The Host,40000000,26627201,Andrew Niccol,PG-13,125,3/29/13 0:00
The World's End,20000000,26004851,Edgar Wright,R,109,8/23/13 0:00
21 and Over,13000000,25682380,Jon LucasScott Moore,R,93,3/1/13 0:00
Her,23000000,25568251,Spike Jonze,R,120,12/18/13 0:00
